Rank,Country,2024,2023,2022,2021,2020,2019,2018,Population
89,Bulgaria,12.4,13.2,18.3,16.3,27.5,25.5,25.8,6877743
90,Maldives,12.2,15.3,10.9,0,0,0,0,521457
91,Malta,11.7,12,11.7,13.5,11.8,9.4,11,518536
92,Greece,11.5,17.4,19,19,18.4,22.5,0,10641221
93,Uruguay,11.5,11.7,11.3,14.2,0,0,0,3426260
94,Singapore,11.4,13.4,13.3,13.8,11.8,19,14.8,5453566
95,Austria,10.2,9.6,10.6,11.4,10.9,12.2,15,8955797
96,Lithuania,10.1,10.4,13.2,13.2,11.7,14.5,17.5,2800839
97,Panama,10.1,9.6,9,0,0,0,0,4351267
98,Bolivia,10,12.6,7.3,0,0,0,0,12079472
99,Russia,9.8,10,11.2,12.3,9.3,9.9,11.4,143449286
100,Ecuador,9.7,7.4,0,8.4,7.6,8.6,0,17797737
101,Ukraine,9.2,8.6,9.7,18.5,19.2,16.6,14,43792855
102,Latvia,9.2,8,10.1,0,11.3,13.3,0,1884490
103,Germany,9,9,11,10.6,10.1,11,13,83196078
104,Netherlands,8.9,8.7,11,11.3,9.7,10.9,11.7,17533044
105,Belgium,8.9,9.4,10.8,11.5,8.9,12.5,13.5,11592952
106,Argentina,8.7,9.2,7.7,8.2,14.2,14.6,0,45808747
107,Spain,8.7,9.9,10.9,10.7,10.4,9.7,10.3,47415750
108,Japan,8.6,9.6,9.1,9.1,9.8,11.4,12,125681593
109,Cayman Islands,8.5,0,0,0,0,0,0,74457
110,France,8.1,9.5,11.5,11.4,11.1,12.3,13.2,67749632
111,Luxembourg,7.5,8.9,7.4,9,9,9.6,11.2,640064
112,Anguilla,7.4,7.4,0,0,0,0,0,15094
113,United Kingdom,7.4,7.7,8.9,8.8,8.3,10.5,10.8,67326569
114,Switzerland,7.3,8.9,10,10.8,9,10.9,11.6,8703405
115,Denmark,7.2,7.7,8.6,9.6,9.4,9.6,0,5856733
116,USA,7.1,9.1,8.9,10.3,9.6,9,9.1,331893745
117,Costa Rica,7,6.1,7.9,7.8,8.2,10.4,0,5153957
118,Portugal,6.8,6.8,8.1,7.1,9.1,9.3,9.4,10325147
119,Canada,6.7,10.3,7.4,8.5,7.3,7.7,7.9,38246108
120,Norway,6.6,6.3,7,7.5,5.7,6.9,7.6,5408320
121,Liechtenstein,6.5,7.2,8.3,7.2,0,0,0,39039
122,Ireland,6.5,6.3,7.5,8,8.6,10.6,9.5,5033165
123,Trinidad and Tobago,6.1,5.8,5.1,7.1,0,0,0,1525663
124,Andorra,6,7.9,5.4,7.3,7.4,0,0,79034
125,Sweden,5.3,5.1,6.2,6.6,5,6.6,7.4,10415811
126,Finland,5.2,4.9,5,5.5,5,5.6,6.6,5541017
127,Estonia,4.6,4.7,4.9,5.9,5.9,6.2,7.2,1330932
128,Australia,4.5,4.5,4.2,5.7,7.6,8,6.8,25688079
129,New Zealand,4.4,4.3,4.8,6.8,7,7.5,7.7,5122600
130,Iceland,4,4,3.4,6.1,7.2,5.5,5,372520
131,Grenada,3.2,4.1,3.8,5.5,0,0,0,124610
132,Barbados,3.1,0,0,0,0,0,0,282467
133,Montserrat,2.7,0,0,0,0,0,0,4389
134,Puerto Rico,2.7,4.5,4.3,4.8,3.7,10.2,13.7,3263584
135,U.S. Virgin Islands,2.6,0,2.9,4.5,3.7,3.5,0,105870
136,French Polynesia,2.5,3.2,2.5,0,0,0,0,304032
137,Bermuda,2.5,4.1,3,0,0,0,0,63867
138,Bahamas,2.3,5.2,0,5.5,0,3.3,0,407906
