City,State,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Average AQI(2024),Latitude,Longitude
Firozabad,Uttar Pradesh,61.5,37.4,31.1,32.5,33.8,29,13.6,19.8,30.3,47.8,56.5,42.5,36.31666667,27.1941954,78.4604956
Jhansi,Uttar Pradesh,52.9,37.5,30.9,30.1,36.3,34.9,23.3,25.6,21.3,35.7,55.3,48.2,36,25.529855,78.6527802
Rajsamand,Rajasthan,71.5,47.4,34.1,31.9,21,14.2,26.7,15.4,23.8,27.8,45.3,71.8,35.90833333,25.2892459,73.8241077
Bathinda,Punjab,43.5,34.6,23.8,28.6,32.9,48.2,41.5,19.3,26.2,42.8,50.9,36.1,35.7,30.1794813,75.0471098
Indore,Madhya Pradesh,59.5,47.3,40.9,38.4,34,22.5,15.4,14.1,19.7,38.4,59.2,36.1,35.45833333,22.7203616,75.8681996
Amravati,Maharashtra,60,43.1,45.5,37.7,33.7,22,14.5,14.4,18.5,34.8,56.7,41.4,35.19166667,21.1545412,77.6442962
Pune,Maharashtra,53.7,51.3,42.6,36.1,29.7,18.4,13.4,15.2,15.9,31.7,63.2,52.7,35.325,18.5213738,73.8545071
Coimbatore,Tamil Nadu,72.7,53.3,49.4,37.1,27.8,16.4,14.5,18,19,24.1,44.7,46.8,35.31666667,11.0018115,76.9628425
Shillong,Meghalaya,45,52.5,49.9,50.2,30.9,21.7,7.3,8.4,10.3,40.3,38.8,21.7,31.41666667,25.5760446,91.8825282
Bidar,Karnataka,67.2,42.2,40,43.8,31.9,14.2,6.5,11.9,20.8,24.5,54.3,42.9,33.35,18.0207296,77.2487204
Mumbai,Maharashtra,51.5,48.9,34.9,31.2,23.3,13.8,12.3,11.6,13.6,34.1,65.3,64.2,33.725,19.054999,72.8692035
Pratapgarh,Uttar Pradesh,61.7,39.1,27.3,28.2,21.2,13.5,16.6,15.3,23.5,37.5,56.9,62.7,33.625,25.75,81.75
Vatva,Gujarat,51.5,52.8,53.5,33.6,23.6,20.5,23.5,29.9,24,21.1,33.2,32.7,33.325,22.9589978,72.6297981
Sangli,Maharashtra,69.1,73.4,53,38.6,23.3,11.8,8.5,8.1,8.5,22.1,40.1,31.3,32.31666667,17.1726928,74.5867654
Sirohi,Rajasthan,51.6,35.2,33.8,29.8,22.7,17.8,15.7,14.4,19,28.4,39.1,72.5,31.66666667,24.8114047,72.8300257
Dharwad,Karnataka,40.1,39.4,34.1,38.3,29,22,28.5,22.9,23.9,26.6,50,32.4,32.26666667,15.3707296,75.1332867
Vijayawada,Andhra Pradesh,39.5,38.7,36.8,29.3,31.3,29.7,26.6,25.7,33.4,30.6,33.1,36.8,32.625,16.5115306,80.6160469
Yadgir,Karnataka,50.2,36.8,38.8,35.8,23.6,9.1,9.6,19.1,21,27,64,45.3,31.69166667,16.5744123,76.9254434
Surat,Gujarat,34.6,26.6,20.8,7.8,43.4,12.1,19.3,18.3,24,64.1,77.9,38.7,32.3,21.2094892,72.8317058
Rishikesh,Uttarakhand,55.9,30.4,27.3,31.8,44.4,38.8,19.8,13.3,11.3,29.3,55.8,29.1,32.26666667,30.1086537,78.2916193
Rajamahendravaram,Andhra Pradesh,86.2,44.2,30.3,22.7,17.7,18.4,11.7,12.5,16.9,26.1,53.5,46.4,32.21666667,17.0050454,81.7804732
Tumakuru,Karnataka,46.9,22,35.2,51.3,40.2,17.6,22.1,32.4,17.4,17.5,50.9,55.9,34.11666667,13.4192512,76.8810004
Agra,Uttar Pradesh,58,30.6,30.2,25,27.7,20.6,14.3,8.8,15.7,41.3,64.1,43,31.60833333,27.1752554,78.0098161
Kadapa,Andhra Pradesh,30.1,32.7,27.3,23.7,38.4,32.2,29.2,27.9,30.2,31.7,33.4,41.2,31.5,14.4752936,78.8216861
Bhilai,Chhattisgarh,54.5,29.6,30,26.1,28.7,18.6,12.2,19.5,22.6,32.5,58.2,46,31.54166667,21.2120677,81.3732849
Sagar,Madhya Pradesh,48.9,33.4,22.5,22.4,23.9,19.7,12.6,15.8,14.9,36.1,57.3,64.2,30.975,23.8083076,78.758254
Gharghoda,Chhattisgarh,38.5,29.6,35.3,48.9,38.3,31.1,8.6,14.2,15.3,32.9,37.7,36.5,30.575,22.1674127,83.3485457
Kannur,Kerala,27.1,30.8,33.5,37.3,39.1,28.4,26.8,--,--,--,19.9,27.6,30.05555556,11.8763836,75.3737973
Naharlagun,Arunachal Pradesh,44.9,42.1,45.9,44.6,19.1,16.9,13.1,15.4,17.4,18.9,29.1,44.3,29.30833333,27.1308555,93.709712
Hyderabad,Telangana,39.5,31.5,33.8,35.4,28.3,20.7,16.5,19.8,22.9,31.1,50.3,37.2,30.58333333,17.360589,78.4740613
Brajrajnagar,Odisha,44.1,37.5,37.9,38.2,29.2,24.3,12.7,10.4,15.8,28,41.8,36,29.65833333,21.8498594,83.9254698
Bengaluru,Karnataka,44,37.9,45.3,34.4,24.1,15.4,14.3,19.5,20.8,30.7,39.1,34.7,30.01666667,12.9881567,77.6226
Tirupati,Andhra Pradesh,35.9,31.6,37.8,32.8,25.9,20.6,15.8,13.8,15.6,29.6,48.3,47.7,29.61666667,13.6316368,79.4231711
Prayagraj,Uttar Pradesh,61.4,33.8,26.9,21.8,27.2,25.9,12.2,10.5,13.9,24.3,48.6,49.4,29.65833333,25.4381302,81.8338005
Bilaspur,Chhattisgarh,49.6,32.1,26.4,30.5,31.8,22.9,16.2,12.9,19,31.4,46.9,35.2,29.575,22.1638486,82.1365923
Mandikhera,Haryana,12.8,24,19.2,23.2,26,20.6,14.6,10,45.9,64.8,63.9,21.7,28.89166667,27.897075,76.9922014
Eloor,Kerala,30.1,28.3,25,23.6,20.3,18.4,29.2,28.4,30.9,30,42.8,41.1,29.00833333,10.0669964,76.2989276
Chikkaballapur,Karnataka,49.2,42.8,46.5,36.4,24.9,11.3,11.6,11.3,13.1,22.2,40.8,32.5,28.55,13.0993764,77.388729
Barmer,Rajasthan,52.7,28.8,18.8,18.3,24.3,24.5,17.9,11.4,14.8,24.1,43.8,58.3,28.14166667,25.5814853,71.1924922
Cuddalore,Tamil Nadu,39.6,35.2,36.2,41.6,24.5,17.6,15.1,15.2,16.2,36.1,33.4,34.7,28.78333333,11.520207,79.3396356
Vellore,Tamil Nadu,52,40.3,27.4,22.9,26.1,16,13.4,15.6,21.2,28,37.8,44,28.725,12.9021849,79.061104
Davanagere,Karnataka,39.5,29.4,37.6,35.1,23.2,12.3,10.9,12.1,12.7,31.3,47.4,40.1,27.63333333,14.2558835,75.8303421
Anantapur,Andhra Pradesh,32.5,27.9,27.8,22.6,23.1,22.9,24.3,26,25.1,36.9,37.2,25.5,27.65,14.72422,77.4306738
Sravana Belgola,Karnataka,42.5,33.2,45.6,39.1,26.9,17,14.5,14,14.8,21.5,32.8,35.7,28.13333333,19.2403,73.1305
Kalyan,Maharashtra,40.4,36.2,35.9,32.4,17.4,11.2,9.4,8.4,7.3,20.2,52.6,57.4,27.4,19.2396742,73.1366482
Honnali,Karnataka,39.7,29.9,37.6,34.8,23.5,12.4,11.1,12.1,12.5,29.7,47,39.6,27.49166667,14.2389785,75.6457434
Thiruvananthapuram,Kerala,36.2,35.4,39.2,32.8,32.5,18,15.5,20,18.9,24.1,33.4,24.1,27.50833333,8.4882267,76.947551
Haveri,Karnataka,49.5,35.1,34.6,32.9,23.1,12,10.6,8.9,12,33.1,47.1,19.1,26.5,14.7180267,75.3656423
Ooty,Tamil Nadu,37.8,25.4,37.5,29.1,31.6,17.1,17.3,17.2,20.3,24.9,28.8,29.4,26.36666667,11.4126769,76.7030504
Hassan,Karnataka,42.3,32.8,37.1,36.1,25.3,17.5,13,14.5,13.2,26,34.1,36,27.325,13.0301852,76.1744968
Mangalore,Karnataka,39.4,37.9,34.6,29.8,19.3,16.6,15.7,16.2,19.4,24.5,25,37.1,26.29166667,12.8698101,74.8430082
Hubballi,Karnataka,33.5,24,31.1,30.9,27.4,25.1,22.2,17.2,17,21.2,40.1,28,26.475,15.3518378,75.1379848
Raipur,Chhattisgarh,42.5,30.3,29,25.3,23.3,17.5,9.7,15.8,14.9,26.1,44.1,36.5,26.25,21.2380912,81.6336993
Trichur,Kerala,30.5,30.1,28.6,28.5,28.5,27.9,21.5,20.5,21.3,20.1,26.7,27.7,25.99166667,10.5161402,76.2084616
Chennai,Tamil Nadu,45,34,28.4,16.8,14.4,16.2,16.9,14.5,19.1,27.5,43,36.2,26,13.0836939,80.270186
Amaravati,Andhra Pradesh,63.2,29.2,22.3,19.5,17.8,14.3,9.5,9.3,13.8,24.9,50,41.1,26.24166667,16.5096679,80.5184535
Ramanagara,Karnataka,40.1,34.7,35.2,33.4,23.9,10.1,12.1,10.9,13.6,22,41.1,28.8,25.49166667,12.720006,77.3184199
Semmandalam,Tamil Nadu,44.9,31.9,27.2,15.5,19.8,18.9,16,23.3,31.7,53.7,49.9,50.4,31.93333333,11.7647483,79.749938
